,AUC,F2,G2
lstm_diag,0.8576681613922119,0.02016191091821344,0.0
lstm_superdiag,0.6403957009315491,0.15726290516206484,0.0
lstm_subdiag,0.8279510736465454,0.03745868527359529,0.0
lstm_rhythm,0.969268262386322,0.17038956442792821,0.6096956829440906
lstm_form,0.8048709630966187,0.041218637992831535,0.0
lstm_bidir_diag,0.8557750582695007,0.02016191091821344,0.0
lstm_bidir_superdiag,0.637526273727417,0.15726290516206484,0.0
lstm_bidir_subdiag,0.8168658018112183,0.03745868527359529,0.0
lstm_bidir_rhythm,0.9588987231254578,0.13920032577074978,0.5744027303754267
lstm_bidir_form,0.8029806017875671,0.041218637992831535,0.0
