,AUC,F2,G2
lstm_diag,0.7053197584890525,0.5222222222222223,0.9553213715553284
lstm_superdiag,0.8540664481783448,0.7326086956521739,0.9638238549232483
lstm_subdiag,0.7168848553078895,0.5166051660516605,0.9551751613616943
lstm_rhythmdiag,1.0,1.0,0.0
lstm_form,0.4800056450146866,0.3710247349823322,0.7839151620864868
lstm_bidir_diag,0.6931993044705238,0.5209471766848816,0.9561812281608582
lstm_bidir_superdiag,0.8339649469369974,0.68125,0.9522339105606079
lstm_bidir_subdiag,0.7363681613724328,0.5559701492537313,0.9532479047775269
lstm_bidir_rhythm,1.0,1.0,0.0
lstm_bidir_form,0.700067512347653,0.41729323308270677,0.8704922199249268
