,AUC,F2,G2
lstm_diag,0.02016191091821344,0.0,0.8576681613922119
lstm_superdiag,0.15726290516206484,0.0,0.6403957009315491
lstm_subdiag,0.03745868527359529,0.0,0.8279510736465454
lstm_rhythm,0.17038956442792821,0.6096956829440906,0.969268262386322
lstm_form,0.041218637992831535,0.0,0.8048709630966187
lstm_bidir_diag,0.02016191091821344,0.0,0.8557750582695007
lstm_bidir_superdiag,0.15726290516206484,0.0,0.637526273727417
lstm_bidir_subdiag,0.03745868527359529,0.0,0.8168658018112183
lstm_bidir_rhythm,0.13920032577074978,0.5744027303754267,0.9588987231254578
lstm_bidir_form,0.041218637992831535,0.0,0.8029806017875671
